,Unnamed: 0,video_like,video_forward,video_comment,goods_name,goods_whole_sale,bgm,language,genre,public_time,emotion,filename
502,502,2.1w,281,1410,兰蔻持妆粉底液,,굳세어라 행진곡 (加油时刻进行曲) (Instrumental),纯音乐,Soundtrack,2007-03-29,sad,굳세어라 행진곡 (加油时刻进行曲) (Instrumental)
503,503,1506,30,448,兰蔻持妆粉底液,,MOM (原唱：蜡笔小心),,,,happy,BBOOM BBOOM (BBOOMBBOOM)
504,504,40.3w,1.6w,9582,兰蔻持妆粉底液,,西班牙斗牛士进行曲,纯音乐,WorldMusic,2005-01-01,happy,西班牙斗牛士进行曲
505,505,10.4w,1085,2322,兰蔻持妆粉底液,,SAD! & XO Tour Life (COVER),,,,peaceful,SAD! & XO Tour Life (COVER)
506,506,803,19,128,兰蔻持妆粉底液,,Marvin Gaye,,,,sad,grass_harvest
507,507,41,5,48,兰蔻持妆粉底液,,アイロニ (反语),日语,Pop,2015-04-01,happy,まじ娘 - アイロニ(カバー)
508,508,6.1w,356,128,兰蔻持妆粉底液,,Yellow wagon,,,,peaceful,Yellow (Yellow) (原唱_有機酸)
509,509,1.2w,2535,3261,雅诗兰黛小棕瓶,,The Party Troll,纯音乐,Dance,2013-02-20,mad,The Party Troll
510,510,1.0w,15,127,雅诗兰黛小棕瓶,,금요병 (周五病),韩语,Alternative,2017-07-17,sad,금요병 (周五病)
511,511,2.3w,488,3834,雅诗兰黛小棕瓶,,Micmacs à la gare,纯音乐,Soundtrack,2009-10-19,sad,Micmacs à la gare
512,512,6.3w,1313,654,雅诗兰黛小棕瓶,,My Boyfriend Is Gay,英语,Pop,2018-12-25,happy,My Boyfriend Is Gay
513,513,'94549,'483,'2621,'颐莲玻尿酸补水喷雾舒缓保湿爽肤水化妆水定妆喷雾官网正品福瑞达,'60703,桜の木の下で,日语,,2005-05-25,happy,桜の木の下で
514,514,'200174,'3346,'7711,'豆豆 chillmore泠水沐浴露男女香体沐浴液留香300ml,'2553,??? ??? (Hard to Start),韩语,Pop,2019-02-27,mad,Hard to start (Extended Version)
515,515,'255376,'2771,'6721,'豆豆 BLACKPAW黑爪夏日限定香水水果香味自然清新持久留香30ml,'21361,Paris,纯音乐,Electronica,2016-04-19,sad,Paris
516,516,'303095,'4275,'14649,'豆豆 尔木萄眼影盘套盒小情书闪粉珠光日常妆平价便携4盘16色,'10049,Don't Panic,英语,Rock,2000-07-10,sad,Coldplay - Don't Panic
517,517,'155524,'1299,'5599,'豆豆同款HairRecipe发之食谱无硅水润柔顺无花果苹果姜洗发水护发,'20814,When I'm Ready,其他,Rap/HipHop,2013-05-21,sad,When I'm Ready(feat. Daz Dillinger & Soopa Fly) (Explicit)
518,518,'215941,'2422,'8246,'豆豆 ukiwi黑糖磨砂膏纽西小精灵麦卢卡蜂蜜清洁毛孔100ml,'7346,Busy Body,英语,Pop,2019-12-06,happy,Busy Body
519,519,'325686,'6070,'10254,'豆豆 韩国VT范特老虎小布丁面膜7.5g*10涂抹清洁黄金蜜玻尿酸,'50109,How to Dismantle a Life,英语,Jazz,2018-04-25,happy,"Get High, Live Life (Original Club Mix)"
520,520,'227646,'3092,'6468,'李佳琦推荐狮王进口齿力佳酵素美白牙膏去渍清新牙膏去黄牙垢亮白,'88639,Pack Up Your Troubles in Your Old Kit Bag,英语,Pop,2009-01-01,happy,Pack Up Your Troubles in Your Old Kit Bag
521,521,'184578,'590,'3922,'美宝莲眼唇卸妆液脸部温和清洁眼唇脸三合一卸妆水官方正品卸妆油,'73792,Someday,英语,R&B,2020-07-24,mad,Someday
522,522,'308924,'6241,'10094,'豆豆 日本foot  medi 足喷足部喷雾手肘膝盖喷雾110ML,'18780,?? (BBoom BBoom),韩语,Pop,2018-08-30,happy,BBOOM BBOOM (BBOOMBBOOM)
523,523,'130567,'1388,'6820,'豆豆 韩国SOOFEE树霏水乳白桦树活力补水保湿,'4927,Libertines Jacket,英语,Pop,2019-11-15,sad,Libertines Jacket
524,524,'170392,'3707,'7508,'豆豆 新西兰纽西之谜小精灵ukiwi精灵水夏日驱蚊水防蚊喷雾150ml,'7030,grass*harvest,纯音乐,Pop,2013-08-12,sad,grass_harvest
