,Unnamed: 0,Unnamed: 0.1,bgm,bpm,genre,language,public_time,mood,emotion,match,like_time,unlike_time,attitude
226,226,226,蔡黄汝 - 迷人的危险,135.99917763157896,Pop,国语,2020-01-06,,happy,1,0,0,
227,227,227,薛凯琪 _ 陈意涵 _ 杨子姗 - 一起老去,95.703125,Soundtrack,国语,2014-07-02,,happy,1,0,0,
228,228,228,薛明媛、朱贺 - 非酋,99.38401442307692,Pop,国语,2017-07-09,,happy,1,0,0,
229,229,229,要不要买菜 - 下山,83.35433467741936,hiphop,国语,2019-11-22,,happy,1,0,0,
230,230,230,要不要买菜 - 下山~1,83.35433467741936,Pop,其他,2019-03-22,,happy,1,0,0,
231,231,231,要不要买菜 - 火红的萨日朗,112.34714673913044,reggae,国语,2019-12-10,,happy,1,0,0,
232,232,232,许嵩 - 有何不可,99.38401442307692,Pop,国语,2009-01-10,,happy,1,0,0,
233,233,233,许嵩 - 有何不可~1,99.38401442307692,blues,其他,2019-08-07,,happy,1,0,0,
234,234,234,许嵩 - 玫瑰花的葬礼,83.35433467741936,Pop,国语,2007-06-02,,happy,1,0,0,
235,235,235,许嵩 _ 何曼婷 - 素颜,86.1328125,Pop,国语,2010-08-18,,happy,1,0,0,
236,236,236,许巍 - 曾经的你,95.703125,Rock,国语,2006-09-01,,happy,1,0,0,
237,237,237,许巍 - 生活不止眼前的苟且,151.9990808823529,Pop,国语,2016-03-18,,happy,1,0,0,
238,238,238,许巍 - 蓝莲花,89.10290948275862,Pop,国语,2002-12-01,,happy,1,0,0,
239,239,239,贝贝帅 - 星光背后,129.19921875,Pop,粤语,2020-06-05,,happy,1,0,0,
240,240,240,赵雷 - 我们的时光,83.35433467741936,Folk,国语,2014-10-19,,happy,1,0,0,
241,241,241,郑国锋、小凌 - 甜不辣,129.19921875,Pop,国语,2014-03-14,,happy,1,0,0,
242,242,242,郑建鹏、Y U Jay - 小奶狗VS大狼狗,83.35433467741936,Rap/HipHop,国语,2018-07-09,,happy,1,0,0,
243,243,243,郑晓填 - 如果寂寞了,129.19921875,Pop,国语,2018-11-01,,happy,1,0,0,
244,244,244,金海心 - 那么骄傲,151.9990808823529,Pop,国语,2000-07-01,,happy,1,0,0,
245,245,245,锦零 - The Star,89.10290948275862,hiphop,,,,happy,1,0,0,
246,246,246,阿冷 - 春风吹,129.19921875,Pop,国语,2019-04-24,,happy,1,0,0,
