,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
763,XXXTentacion - NUMB,161.4990234375,Pop,英语,2018-03-16,negative,sad,0,0,0
764,XXXTentacion - SAD! (Explicit),99.38401442307692,Pop,英语,2018-03-16,negative,sad,0,0,0
765,XXXTentacion - the remedy for a broken heart (why am I so in love) (Explicit),117.45383522727272,blues,,,,sad,0,0,0
766,ラムジ - PLANET,107.666015625,Pop,日语,2006-06-07,negative,sad,0,0,0
767,丁可 - If,112.34714673913044,Pop,英语,2011-03-30,negative,sad,0,0,0
768,东子陌 - 爱不得忘不舍 (DJ版),129.19921875,hiphop,纯音乐,2020-01-14,negative,sad,0,0,0
769,东子陌 - 送给未来的你,129.19921875,hiphop,纯音乐,2019-11-28,negative,sad,0,0,0
770,于文文 - 体面 (咚鼓版)(DJ唐总、DJ陈安排版),129.19921875,Pop,国语,2019-08-16,negative,sad,0,0,0
771,于文文 - 体面,172.265625,Pop,国语,2017-12-25,negative,sad,0,0,0
772,于果 - 侧脸,129.19921875,Pop,国语,2018-02-01,negative,sad,0,0,0
773,五月天 - 后来的我们,151.9990808823529,Rock,国语,2016-07-21,negative,sad,0,0,0
774,五月天 - 突然好想你,69.83741554054055,Pop,国语,2008-10-23,negative,sad,0,0,0
775,井胧 - 把孤独当做晚餐,99.38401442307692,blues,国语,2019-08-08,negative,sad,0,0,0
776,任然 - 飞鸟和蝉,73.828125,Pop,国语,2020-07-03,negative,sad,0,0,0
777,冰幽 _ 解忧草 - 辞·九门回忆,69.83741554054055,country,,,,sad,0,0,0
778,刘大壮 - 一吻天荒 (吉他版),80.74951171875,Pop,国语,2020-07-13,negative,sad,0,0,0
779,刘大壮 - 给我一首歌的时间 (片段),61.5234375,rock,国语,2020-04-03,negative,sad,0,0,0
780,刘大壮 - 那些你很冒险的梦 (片段),69.83741554054055,rock,,,,sad,0,0,0
781,刘若英 - 后来,151.9990808823529,Pop,国语,2000-01-07,negative,sad,0,0,0
782,半阳 - 一曲相思,103.359375,Pop,国语,2018-09-21,negative,sad,0,0,0
783,华语群星 - 意外 (Live片段),161.4990234375,hiphop,,,,sad,0,0,0
784,卢冠廷 _ 莫文蔚 - 一生所爱,103.359375,Soundtrack,粤语,1995-05-01,negative,sad,0,0,0
785,史蒂文·黄 - I Hate Falling In Love,117.45383522727272,Pop,英语,2012-08-22,negative,sad,0,0,0
786,司南 - 冬眠,129.19921875,Pop,国语,2019-10-28,negative,sad,0,0,0
787,司南 - 烟雨行舟,89.10290948275862,Pop,国语,2018-09-16,negative,sad,0,0,0
788,名决 - 时间的过客,83.35433467741936,Pop,国语,2018-05-10,negative,sad,0,0,0
789,周传雄 - 冬天的秘密,75.99954044117645,Pop,国语,2009-04-07,negative,sad,0,0,0
790,周传雄 - 寂寞沙洲冷,117.45383522727272,Pop,国语,2005-06-29,negative,sad,0,0,0
791,周传雄 - 樱吹雪,99.38401442307692,Pop,国语,2014-11-11,negative,sad,0,0,0
